Short Window,Long Window,Accuracy,Filename
52,126,0.568075117370892,Graphs/strategy_returns_short52_long126.png
35,107,0.568075117370892,Graphs/strategy_returns_short35_long107.png
52,124,0.564945226917058,Graphs/strategy_returns_short52_long124.png
89,113,0.564945226917058,Graphs/strategy_returns_short89_long113.png
59,115,0.5618153364632238,Graphs/strategy_returns_short59_long115.png
73,118,0.5618153364632238,Graphs/strategy_returns_short73_long118.png
59,113,0.5602503912363067,Graphs/strategy_returns_short59_long113.png
77,111,0.5586854460093896,Graphs/strategy_returns_short77_long111.png
77,111,0.5586854460093896,Graphs/strategy_returns_short77_long111.png
27,44,0.5555555555555556,Graphs/strategy_returns_short27_long44.png
78,108,0.5508607198748043,Graphs/strategy_returns_short78_long108.png
28,48,0.5508607198748043,Graphs/strategy_returns_short28_long48.png
19,27,0.5492957746478874,Graphs/strategy_returns_short19_long27.png
13,46,0.5492957746478874,Graphs/strategy_returns_short13_long46.png
80,106,0.5414710485133021,Graphs/strategy_returns_short80_long106.png
78,99,0.5179968701095462,Graphs/strategy_returns_short78_long99.png
