Short Window,Long Window,Accuracy
12,124,0.8622848200312989
12,139,0.837245696400626
12,139,0.837245696400626
4,132,0.8356807511737089
11,137,0.8325508607198748
8,133,0.8309859154929577
3,133,0.8294209702660407
11,131,0.8278560250391236
10,130,0.8278560250391236
10,130,0.8278560250391236
4,122,0.8262910798122066
4,123,0.8262910798122066
81,140,0.8231611893583725
80,140,0.8231611893583725
78,138,0.8215962441314554
78,139,0.8215962441314554
75,140,0.8215962441314554
83,139,0.8215962441314554
80,139,0.8215962441314554
7,122,0.8215962441314554
82,138,0.8200312989045383
81,138,0.8200312989045383
80,138,0.8200312989045383
74,140,0.8200312989045383
75,139,0.8200312989045383
77,138,0.8200312989045383
74,140,0.8200312989045383
68,140,0.8184663536776213
73,137,0.8184663536776213
3,128,0.8184663536776213
84,137,0.8184663536776213
3,128,0.8184663536776213
11,118,0.8169014084507042
70,137,0.8169014084507042
80,135,0.8169014084507042
72,136,0.8169014084507042
8,120,0.8169014084507042
66,140,0.8169014084507042
3,105,0.8169014084507042
66,140,0.8169014084507042
78,135,0.8169014084507042
81,135,0.8169014084507042
18,137,0.8153364632237872
91,139,0.8153364632237872
4,110,0.8153364632237872
78,134,0.8153364632237872
9,109,0.8153364632237872
77,132,0.8153364632237872
14,135,0.8153364632237872
78,132,0.8137715179968701
69,131,0.8137715179968701
71,133,0.8137715179968701
87,138,0.8137715179968701
4,107,0.8137715179968701
10,117,0.8137715179968701
58,138,0.8137715179968701
30,70,0.8137715179968701
67,135,0.812206572769953
96,140,0.812206572769953
93,138,0.812206572769953
50,139,0.812206572769953
50,140,0.812206572769953
93,139,0.812206572769953
86,137,0.812206572769953
80,132,0.812206572769953
88,137,0.812206572769953
13,124,0.812206572769953
55,140,0.812206572769953
55,140,0.812206572769953
101,139,0.810641627543036
73,129,0.810641627543036
65,135,0.810641627543036
86,133,0.810641627543036
62,136,0.810641627543036
54,135,0.810641627543036
99,139,0.810641627543036
86,135,0.810641627543036
18,134,0.810641627543036
13,112,0.810641627543036
23,140,0.810641627543036
39,139,0.810641627543036
65,126,0.810641627543036
74,131,0.810641627543036
3,103,0.810641627543036
62,138,0.810641627543036
13,122,0.810641627543036
58,139,0.810641627543036
64,136,0.810641627543036
36,137,0.809076682316119
83,131,0.809076682316119
14,109,0.809076682316119
71,128,0.809076682316119
56,135,0.809076682316119
88,136,0.809076682316119
28,136,0.809076682316119
38,137,0.809076682316119
34,72,0.809076682316119
90,137,0.809076682316119
96,136,0.809076682316119
34,72,0.809076682316119
34,137,0.809076682316119
13,108,0.809076682316119
81,130,0.809076682316119
13,118,0.809076682316119
14,108,0.809076682316119
101,137,0.809076682316119
34,137,0.809076682316119
48,138,0.809076682316119
133,140,0.8075117370892019
87,131,0.8075117370892019
125,134,0.8075117370892019
86,138,0.8075117370892019
40,136,0.8075117370892019
133,140,0.8075117370892019
33,69,0.8075117370892019
58,130,0.8075117370892019
133,140,0.8075117370892019
92,135,0.8075117370892019
58,130,0.8075117370892019
65,124,0.8075117370892019
28,134,0.8075117370892019
100,138,0.8075117370892019
33,134,0.8075117370892019
133,140,0.8075117370892019
23,67,0.8075117370892019
53,133,0.8075117370892019
18,131,0.8075117370892019
17,128,0.8075117370892019
65,131,0.8075117370892019
46,137,0.8059467918622848
25,133,0.8059467918622848
100,135,0.8059467918622848
27,134,0.8059467918622848
13,103,0.8059467918622848
84,131,0.8059467918622848
18,129,0.8059467918622848
15,112,0.8059467918622848
110,139,0.8059467918622848
70,124,0.8059467918622848
67,128,0.8059467918622848
104,138,0.8059467918622848
55,134,0.8059467918622848
56,130,0.8059467918622848
54,131,0.8059467918622848
60,131,0.8059467918622848
132,140,0.8059467918622848
101,136,0.8059467918622848
102,136,0.8043818466353677
35,135,0.8043818466353677
25,128,0.8043818466353677
27,133,0.8043818466353677
17,126,0.8043818466353677
34,79,0.8043818466353677
69,121,0.8043818466353677
31,128,0.8043818466353677
59,129,0.8043818466353677
102,136,0.8043818466353677
108,139,0.8043818466353677
118,138,0.8043818466353677
92,133,0.8043818466353677
109,140,0.8043818466353677
63,125,0.8043818466353677
86,128,0.8043818466353677
10,100,0.8043818466353677
41,133,0.8043818466353677
106,138,0.8043818466353677
103,137,0.8043818466353677
97,134,0.8043818466353677
18,126,0.8043818466353677
103,137,0.8043818466353677
82,129,0.8043818466353677
34,79,0.8043818466353677
82,129,0.8043818466353677
99,134,0.8043818466353677
16,123,0.8043818466353677
28,127,0.8028169014084507
118,139,0.8028169014084507
86,130,0.8028169014084507
27,72,0.8028169014084507
127,134,0.8028169014084507
127,134,0.8028169014084507
56,127,0.8028169014084507
35,70,0.8028169014084507
107,137,0.8028169014084507
82,127,0.8028169014084507
65,117,0.8028169014084507
90,133,0.8028169014084507
118,139,0.8028169014084507
117,140,0.8028169014084507
63,129,0.8028169014084507
68,122,0.8028169014084507
76,125,0.8028169014084507
61,118,0.8028169014084507
33,130,0.8028169014084507
33,128,0.8028169014084507
45,133,0.8028169014084507
103,136,0.8028169014084507
130,138,0.8028169014084507
106,137,0.8028169014084507
20,53,0.8012519561815337
19,123,0.8012519561815337
119,139,0.8012519561815337
107,135,0.8012519561815337
43,130,0.8012519561815337
12,101,0.8012519561815337
48,130,0.8012519561815337
34,129,0.8012519561815337
126,135,0.8012519561815337
19,122,0.8012519561815337
51,127,0.8012519561815337
107,135,0.8012519561815337
15,106,0.8012519561815337
129,138,0.8012519561815337
19,122,0.8012519561815337
88,132,0.8012519561815337
119,137,0.8012519561815337
15,120,0.8012519561815337
36,130,0.8012519561815337
107,133,0.7996870109546166
27,74,0.7996870109546166
28,71,0.7996870109546166
116,136,0.7996870109546166
134,140,0.7996870109546166
116,140,0.7996870109546166
26,123,0.7996870109546166
110,136,0.7996870109546166
52,125,0.7996870109546166
