Short Window,Long Window,Accuracy
4,68,0.8748043818466353
10,91,0.8607198748043818
3,53,0.8450704225352113
4,59,0.8435054773082942
12,115,0.838810641627543
13,96,0.8325508607198748
14,85,0.8309859154929577
16,85,0.8309859154929577
4,55,0.8309859154929577
14,95,0.8278560250391236
13,102,0.8262910798122066
15,88,0.8262910798122066
28,128,0.8247261345852895
33,86,0.8231611893583725
14,139,0.8215962441314554
4,132,0.8215962441314554
12,102,0.8215962441314554
30,128,0.8200312989045383
35,84,0.8184663536776213
17,84,0.8184663536776213
7,137,0.8169014084507042
36,90,0.8169014084507042
11,140,0.8153364632237872
23,86,0.8153364632237872
39,88,0.8153364632237872
21,84,0.8137715179968701
17,92,0.8137715179968701
7,131,0.812206572769953
38,88,0.812206572769953
6,127,0.812206572769953
16,109,0.809076682316119
16,119,0.809076682316119
13,71,0.809076682316119
34,72,0.809076682316119
16,92,0.809076682316119
37,75,0.8059467918622848
40,78,0.8059467918622848
14,106,0.8043818466353677
16,115,0.8043818466353677
17,113,0.8043818466353677
17,95,0.8043818466353677
16,115,0.8043818466353677
19,116,0.8043818466353677
56,88,0.8028169014084507
18,110,0.8028169014084507
5,122,0.8028169014084507
20,124,0.8012519561815337
54,86,0.8012519561815337
14,125,0.7996870109546166
54,84,0.7996870109546166
7,55,0.7996870109546166
39,74,0.7996870109546166
3,45,0.7996870109546166
17,98,0.7996870109546166
18,120,0.7996870109546166
18,118,0.7996870109546166
19,123,0.7996870109546166
16,122,0.7981220657276995
15,109,0.7981220657276995
23,75,0.7981220657276995
93,125,0.7965571205007824
55,82,0.7965571205007824
20,135,0.7949921752738655
20,136,0.7949921752738655
14,107,0.7949921752738655
83,124,0.7949921752738655
20,77,0.7949921752738655
52,79,0.7949921752738655
17,120,0.7949921752738655
58,90,0.7949921752738655
48,77,0.7949921752738655
20,95,0.7949921752738655
59,86,0.7949921752738655
24,89,0.7949921752738655
81,127,0.7934272300469484
94,128,0.7934272300469484
17,127,0.7934272300469484
17,101,0.7934272300469484
28,74,0.7934272300469484
59,82,0.7934272300469484
56,80,0.7934272300469484
79,125,0.7934272300469484
61,83,0.7918622848200313
94,131,0.7918622848200313
60,83,0.7918622848200313
44,90,0.7918622848200313
20,79,0.7918622848200313
85,122,0.7918622848200313
95,125,0.7918622848200313
18,116,0.7918622848200313
55,78,0.7918622848200313
94,132,0.7918622848200313
87,130,0.7902973395931142
89,128,0.7902973395931142
84,124,0.7902973395931142
85,137,0.7902973395931142
86,133,0.7902973395931142
22,140,0.7902973395931142
88,140,0.7902973395931142
81,129,0.7902973395931142
22,140,0.7902973395931142
90,140,0.7902973395931142
79,128,0.7902973395931142
92,118,0.7902973395931142
86,138,0.7902973395931142
88,125,0.7902973395931142
90,140,0.7902973395931142
81,122,0.7902973395931142
90,140,0.7902973395931142
89,125,0.7902973395931142
91,131,0.7887323943661971
87,124,0.7887323943661971
81,128,0.7887323943661971
94,133,0.7887323943661971
83,140,0.7887323943661971
94,138,0.7887323943661971
94,138,0.7887323943661971
80,130,0.7887323943661971
84,137,0.7887323943661971
87,140,0.7887323943661971
94,140,0.7887323943661971
5,115,0.7887323943661971
58,79,0.7887323943661971
78,131,0.7887323943661971
78,127,0.7887323943661971
88,135,0.7887323943661971
12,57,0.7887323943661971
87,140,0.7887323943661971
83,134,0.7887323943661971
88,128,0.7887323943661971
84,125,0.7887323943661971
90,132,0.7887323943661971
82,136,0.7871674491392802
92,140,0.7871674491392802
90,118,0.7871674491392802
90,133,0.7871674491392802
91,129,0.7871674491392802
96,139,0.7871674491392802
83,129,0.7871674491392802
60,89,0.7871674491392802
80,135,0.7856025039123631
84,130,0.7856025039123631
92,117,0.7856025039123631
4,117,0.7856025039123631
81,135,0.7856025039123631
80,139,0.7856025039123631
47,70,0.784037558685446
54,73,0.784037558685446
5,113,0.784037558685446
21,110,0.7824726134585289
63,85,0.7824726134585289
77,130,0.7824726134585289
97,125,0.7824726134585289
36,55,0.7809076682316118
3,106,0.7809076682316118
95,118,0.7809076682316118
43,66,0.7809076682316118
77,132,0.7809076682316118
96,121,0.7809076682316118
46,69,0.7809076682316118
3,116,0.7793427230046949
97,138,0.7793427230046949
5,108,0.7793427230046949
