Short Window,Long Window,Accuracy
3,66,0.8748043818466353
12,85,0.8591549295774648
10,96,0.8466353677621283
12,91,0.8419405320813772
15,91,0.8309859154929577
14,85,0.8309859154929577
11,67,0.8278560250391236
15,96,0.8262910798122066
11,70,0.8262910798122066
11,66,0.8215962441314554
12,138,0.8200312989045383
34,89,0.8184663536776213
11,64,0.8184663536776213
38,81,0.8184663536776213
17,85,0.8184663536776213
12,71,0.8184663536776213
15,138,0.8169014084507042
37,78,0.8153364632237872
25,128,0.8153364632237872
38,84,0.8137715179968701
3,121,0.8137715179968701
37,85,0.8137715179968701
12,129,0.8137715179968701
3,122,0.812206572769953
18,81,0.812206572769953
36,84,0.812206572769953
40,82,0.812206572769953
12,122,0.812206572769953
17,114,0.812206572769953
35,75,0.810641627543036
11,126,0.810641627543036
20,92,0.810641627543036
13,103,0.810641627543036
12,125,0.810641627543036
13,128,0.810641627543036
8,129,0.809076682316119
39,78,0.809076682316119
6,125,0.809076682316119
22,121,0.809076682316119
38,82,0.809076682316119
37,89,0.809076682316119
30,76,0.809076682316119
14,98,0.8075117370892019
30,85,0.8075117370892019
20,83,0.8075117370892019
16,131,0.8075117370892019
18,86,0.8075117370892019
16,135,0.8059467918622848
17,117,0.8059467918622848
38,75,0.8059467918622848
38,75,0.8059467918622848
21,123,0.8043818466353677
16,130,0.8043818466353677
52,89,0.8028169014084507
16,79,0.8028169014084507
20,93,0.8028169014084507
20,125,0.8028169014084507
32,83,0.8028169014084507
30,78,0.8028169014084507
22,125,0.8028169014084507
20,94,0.8028169014084507
18,109,0.8028169014084507
17,109,0.8012519561815337
45,85,0.8012519561815337
54,90,0.8012519561815337
32,72,0.8012519561815337
26,78,0.7996870109546166
55,85,0.7996870109546166
23,120,0.7996870109546166
28,80,0.7996870109546166
13,127,0.7996870109546166
8,113,0.7981220657276995
15,125,0.7981220657276995
56,82,0.7981220657276995
15,119,0.7981220657276995
20,129,0.7965571205007824
21,133,0.7965571205007824
53,82,0.7965571205007824
18,123,0.7965571205007824
52,86,0.7965571205007824
49,80,0.7965571205007824
93,125,0.7965571205007824
14,128,0.7949921752738655
25,76,0.7949921752738655
18,136,0.7949921752738655
44,74,0.7949921752738655
17,102,0.7949921752738655
20,134,0.7949921752738655
94,124,0.7934272300469484
46,76,0.7934272300469484
59,82,0.7934272300469484
50,76,0.7934272300469484
92,128,0.7934272300469484
26,120,0.7934272300469484
83,138,0.7934272300469484
8,112,0.7934272300469484
83,137,0.7934272300469484
56,79,0.7934272300469484
50,83,0.7934272300469484
90,125,0.7934272300469484
84,135,0.7934272300469484
86,132,0.7918622848200313
79,126,0.7918622848200313
90,136,0.7918622848200313
95,129,0.7918622848200313
42,78,0.7918622848200313
20,79,0.7918622848200313
95,125,0.7918622848200313
92,125,0.7918622848200313
84,139,0.7918622848200313
92,125,0.7918622848200313
93,129,0.7918622848200313
87,137,0.7918622848200313
90,123,0.7902973395931142
91,138,0.7902973395931142
88,125,0.7902973395931142
85,135,0.7902973395931142
85,138,0.7902973395931142
90,131,0.7902973395931142
84,134,0.7902973395931142
83,136,0.7902973395931142
95,122,0.7902973395931142
88,121,0.7902973395931142
93,120,0.7902973395931142
85,130,0.7887323943661971
43,77,0.7887323943661971
88,128,0.7887323943661971
87,133,0.7887323943661971
92,138,0.7887323943661971
58,80,0.7887323943661971
84,131,0.7887323943661971
91,131,0.7887323943661971
78,127,0.7887323943661971
88,135,0.7887323943661971
84,125,0.7887323943661971
83,140,0.7887323943661971
84,132,0.7887323943661971
52,91,0.7887323943661971
77,127,0.7871674491392802
88,132,0.7871674491392802
