Short Window,Long Window,Accuracy
3,67,0.8748043818466353
8,66,0.8560250391236307
8,66,0.8560250391236307
11,88,0.8560250391236307
4,60,0.8544600938967136
13,94,0.8403755868544601
12,67,0.8231611893583725
5,56,0.8215962441314554
36,79,0.8184663536776213
13,73,0.8184663536776213
36,81,0.8184663536776213
17,89,0.8169014084507042
12,133,0.8169014084507042
11,116,0.8169014084507042
32,81,0.8169014084507042
14,111,0.8153364632237872
22,87,0.8153364632237872
13,106,0.8153364632237872
14,120,0.8137715179968701
17,140,0.8137715179968701
22,82,0.8137715179968701
14,119,0.8137715179968701
7,136,0.812206572769953
12,65,0.812206572769953
10,117,0.812206572769953
7,135,0.812206572769953
40,82,0.812206572769953
7,132,0.812206572769953
10,127,0.812206572769953
9,130,0.810641627543036
22,89,0.810641627543036
7,57,0.809076682316119
16,92,0.809076682316119
40,79,0.809076682316119
42,82,0.809076682316119
22,81,0.8075117370892019
7,133,0.8075117370892019
30,74,0.8059467918622848
14,131,0.8043818466353677
28,81,0.8043818466353677
3,47,0.8043818466353677
57,90,0.8043818466353677
42,83,0.8043818466353677
16,107,0.8028169014084507
32,83,0.8028169014084507
18,109,0.8028169014084507
53,89,0.8012519561815337
53,84,0.8012519561815337
21,80,0.8012519561815337
52,88,0.8012519561815337
31,77,0.8012519561815337
53,84,0.8012519561815337
16,137,0.8012519561815337
44,84,0.8012519561815337
24,130,0.8012519561815337
19,122,0.8012519561815337
28,77,0.7996870109546166
16,96,0.7996870109546166
21,128,0.7996870109546166
56,86,0.7996870109546166
14,125,0.7996870109546166
44,81,0.7996870109546166
53,83,0.7996870109546166
15,127,0.7996870109546166
56,85,0.7996870109546166
59,88,0.7981220657276995
17,100,0.7981220657276995
54,81,0.7981220657276995
14,108,0.7981220657276995
17,97,0.7981220657276995
10,58,0.7981220657276995
24,77,0.7981220657276995
50,86,0.7981220657276995
19,119,0.7981220657276995
15,119,0.7981220657276995
27,80,0.7981220657276995
21,138,0.7965571205007824
47,78,0.7965571205007824
53,78,0.7965571205007824
55,79,0.7949921752738655
43,78,0.7949921752738655
6,53,0.7949921752738655
24,89,0.7949921752738655
5,120,0.7949921752738655
58,81,0.7949921752738655
49,77,0.7949921752738655
18,124,0.7949921752738655
93,127,0.7934272300469484
22,135,0.7934272300469484
83,138,0.7934272300469484
88,119,0.7934272300469484
7,101,0.7934272300469484
46,78,0.7934272300469484
17,101,0.7934272300469484
86,137,0.7918622848200313
49,75,0.7918622848200313
20,79,0.7918622848200313
94,125,0.7918622848200313
14,68,0.7918622848200313
90,137,0.7918622848200313
92,126,0.7918622848200313
80,129,0.7918622848200313
90,136,0.7918622848200313
82,126,0.7902973395931142
89,125,0.7902973395931142
95,122,0.7902973395931142
93,132,0.7902973395931142
5,117,0.7902973395931142
91,139,0.7902973395931142
81,129,0.7902973395931142
89,133,0.7902973395931142
90,122,0.7902973395931142
8,105,0.7902973395931142
85,138,0.7902973395931142
3,44,0.7902973395931142
